"Date","Price","Open","High","Low","Change %"
"Sep 09, 2020","75.4025","76.2826","76.3873","75.3368","-1.15%"
"Sep 08, 2020","76.2826","75.7585","76.5686","75.7328","0.69%"
"Sep 07, 2020","75.7585","75.4087","76.2453","75.4087","0.46%"
"Sep 04, 2020","75.4087","75.2680","75.6511","74.9388","0.19%"
"Sep 03, 2020","75.2680","75.4015","75.8090","74.8830","-0.18%"
"Sep 02, 2020","75.4015","73.5765","75.6753","73.5764","2.48%"
"Sep 01, 2020","73.5765","74.0718","74.0750","73.3758","-0.67%"
"Aug 31, 2020","74.0718","74.0056","74.5090","73.6446","0.09%"
"Aug 28, 2020","74.0056","74.9588","74.9664","74.0056","-1.27%"
"Aug 27, 2020","74.9588","75.3995","75.4953","74.7514","-0.58%"
"Aug 26, 2020","75.3995","75.3312","75.9876","75.3238","0.09%"
"Aug 25, 2020","75.3312","74.6401","75.7063","74.3321","0.93%"
"Aug 24, 2020","74.6401","74.7995","74.8000","74.1743","-0.21%"
"Aug 21, 2020","74.7995","73.7823","75.0010","73.7327","1.38%"
"Aug 20, 2020","73.7823","73.2920","74.1804","73.2920","0.67%"
"Aug 19, 2020","73.2920","73.1634","73.5428","73.0525","0.18%"
"Aug 18, 2020","73.1634","73.7015","73.7017","72.9474","-0.73%"
"Aug 17, 2020","73.7015","72.8558","73.7964","72.8002","1.16%"
"Aug 14, 2020","72.8558","72.9555","73.4779","72.8112","-0.14%"
"Aug 13, 2020","72.9555","73.7116","73.7597","72.9248","-1.03%"
"Aug 12, 2020","73.7116","73.1506","73.8008","73.0127","0.77%"
"Aug 11, 2020","73.1506","73.4667","73.5056","72.7024","-0.43%"
"Aug 10, 2020","73.4667","73.7170","73.9855","73.3683","-0.34%"